75.520447	1012400
1.537311	797100
0.000550	a2
175.635559	845900
9.938594	809600
0.025636	815500
0.000184	a3
216.812561	846200
17.723997	870600
0.089199	801900
0.000317	a3
225.788147	836400
20.584497	806100
0.127103	819700
0.000252	a3
217.800049	893700
18.803986	818700
0.105231	803800
0.000069	a3
192.362732	928900
13.172926	892900
0.048046	891000
0.000186	a3
145.308411	1034100
6.571530	911900
0.010989	890900
0.000063	a3
102.434082	872600
3.018153	809800
0.002381	793200
0.000014	a3
117.592346	970300
4.085963	835800
0.004151	794000
0.000066	a3
161.370544	839600
8.439619	793900
0.018498	793900
0.000061	a3
189.588135	832400
12.657557	811300
0.045118	793900
0.000191	a3
198.142639	859000
14.295149	828300
0.058684	821900
0.000189	a3
