52.490723	843800
0.245118	777100
0.000601	a2
177.137695	845500
2.998708	816600
0.000743	a2
229.955811	1160400
5.202603	901500
0.002935	898500
0.000273	a3
219.316895	907000
4.695695	817700
0.001954	822600
0.000252	a3
190.617432	966300
3.489259	913600
0.001795	930600
0.000252	a3
174.826660	842500
2.912285	811000
0.001023	964400
0.000061	a3
175.084473	963400
2.924249	936900
0.000252	a2
180.822021	864900
3.129358	814300
0.001036	798700
0.000061	a3
184.308594	932800
3.256565	903600
0.000994	a2
184.449219	823800
3.261682	800700
0.001036	796600
0.000061	a3
183.284668	833400
3.218227	827000
0.000984	a2
182.501221	792600
3.188433	771800
0.001466	774100
0.000061	a3
182.431396	830100
3.185513	918200
0.001710	815600
0.000244	a3
182.667725	923900
3.195027	889200
0.001185	896900
0.000061	a3
182.837158	848000
3.200886	810600
0.001762	799600
0.000062	a3
182.854004	894400
3.202116	870900
0.001221	863300
0.000244	a3
182.802002	919000
3.199917	915200
0.000819	a2
182.763916	859000
3.198452	832700
0.001023	832600
0.000062	a3
182.761719	919400
3.198451	819600
0.000733	a2
182.774170	849400
3.199433	818500
0.000772	a2
182.782471	838900
3.199191	820800
0.001315	818900
0.000252	a3
182.784180	841100
3.199183	852100
0.001563	821000
0.000062	a3
182.780518	957800
3.199185	919700
0.000794	a2
182.777344	944400
3.198929	907400
0.001642	908300
0.000273	a3
182.778564	919600
3.199426	887200
0.000735	a2
182.778320	841900
3.199426	820500
0.001510	815800
0.000122	a3
182.780029	812400
3.199178	800200
0.001258	793400
0.000252	a3
182.779785	830900
3.199427	814600
0.000994	a2
182.778809	811200
3.198934	790400
0.001245	792000
0.000305	a3
182.778564	962700
3.198937	937100
0.000994	a2
182.778809	836400
3.199430	799700
0.001365	797300
0.000252	a3
182.779785	838200
3.199665	820400
0.000735	a2
182.778809	821800
3.199428	932600
0.001173	804400
0.000252	a3
182.778809	828200
3.198688	809100
0.001365	855600
0.000252	a3
182.779297	904900
3.199182	871500
0.001485	867700
0.000488	a3
182.780029	839700
3.198939	923700
0.001476	805000
0.000062	a3
182.779297	850000
3.199430	825800
0.000743	a2
182.778564	827800
3.199429	800200
0.001258	798000
0.000345	a3
182.779541	795300
3.199183	780900
0.001544	776800
0.000010	a3
182.779297	814600
3.198445	797800
0.001510	798100
0.000122	a3
182.779785	824300
3.199680	806400
0.001526	796200
0.000061	a3
182.779785	877900
3.199421	856100
0.000735	a2
182.778320	832600
3.199189	798300
0.000916	a2
182.778320	867700
3.199424	861300
0.000488	a2
182.778809	834000
3.199671	817100
0.000743	a2
182.778564	838100
3.199179	817100
0.001023	836500
0.000061	a3
182.779297	911100
3.199424	892900
0.001221	876800
0.000252	a3
182.779053	843000
3.198942	817800
0.001222	812900
0.000305	a3
182.779541	837600
3.199431	923200
0.000576	a2
182.778320	832000
3.198942	806900
0.000979	a2
182.778564	973800
3.199180	929500
0.001227	918200
0.000122	a3
182.779297	832900
3.198938	831900
