1284900	253200
593200	185600
538500	204100
547300	214900
545500	210300
595100	214500
589000	204600
582500	228000
611300	226400
549700	220900
679500	183000
811800	206700
570700	205500
624900	206200
1681400	190600
653700	208700
640000	212300
581600	224000
581400	193700
588700	196400
695200	193700
655200	191500
534400	216600
1751200	330200
557500	209700
550500	206900
642000	215000
603600	207500
761600	184800
650100	212300
723100	211600
534700	201800
547000	200800
713300	214800
1188600	214700
1217600	204500
1191900	205200
1145600	216000
1885000	193800
1306400	177900
1225300	189000
3813100	203200
1207100	174600
1200200	174500
1202100	217800
1419800	218600
1518700	221200
1177800	195600
2140400	176400
1216100	169700
1649900	229400
1212100	204200
1154100	213500
1119100	186700
3976100	212400
1123000	160900
1136900	158300
1110000	180600
1111800	161500
1181500	173300
1236300	200200
544300	195400
534500	187300
722400	162400
705400	191600
1359900	196500
598900	196500
537800	208400
491200	201800
525100	195800
1003600	175100
518700	192700
502600	157900
501900	199100
484100	192900
788400	451200
532000	191500
460800	191100
596000	160000
625500	200100
1156400	200700
533400	217200
670200	197800
1298200	228100
526300	193600
506100	184300
504100	164100
508900	197300
473900	197400
465300	166100
2135900	169500
603500	172800
1208600	160100
511600	198100
498300	199800
511700	202600
511700	188000
522700	189900
488500	174400
513600	202100
559400	191100
982600	193900
511000	186100
445300	177800
441500	180800
470900	189200
502900	179800
500900	189200
682000	179400
536200	194100
1027900	172100
566800	184000
514600	179300
478800	184800
516000	190600
498100	178900
500600	179500
563300	178800
592000	349900
548700	187300
865600	186300
523800	190500
513600	198500
514000	200300
492400	202200
488000	191800
511600	211200
592900	194500
535300	197300
518700	197500
1018900	184700
525400	184600
490100	186800
505100	191000
488900	179400
483500	186400
488900	180900
478500	182000
630500	177400
541000	188200
910800	185200
530400	197000
514200	192800
518000	198100
494000	195400
499200	208600
518800	211300
577600	202300
486400	205000
516200	203900
711000	197900
538700	186000
478200	181000
485000	182200
506800	183700
847400	194400
539900	195500
465000	184200
506900	184000
450700	183100
926500	212500
516100	177500
499400	178400
514200	203100
599700	176300
502900	177100
499300	180500
511000	188900
491200	183600
486500	182100
983500	176200
492400	178500
478800	176400
503000	190500
1071900	235300
537900	210500
507800	209400
489500	191400
442800	192000
484700	190800
832200	210300
530800	200500
535000	215000
773200	194800
528300	210000
527100	208100
506800	207900
502500	193200
494800	170400
483900	185800
756100	225600
573500	243800
577000	206900
563200	221400
570600	226700
549700	216400
528900	222600
552700	220000
525900	217500
546900	216100
